area,bathroom_num,bedroom_num,floor_count,floor_num,furnishing,locality,type,price
635,2,1,7,4,1,10,0,8000
625,1,1,7,2,0,10,0,9000
630,2,1,15,9,2,10,0,8000
690,2,1,7,4,0,10,0,8500
338,1,1,5,2,2,10,0,10000
675,2,1,12,11,0,10,0,9000
500,1,1,6,2,1,10,0,8000
850,2,1,7,1,2,10,0,8000
630,2,1,12,5,2,10,0,8000
730,2,1,7,3,2,10,0,8000
560,1,1,4,3,0,10,0,10000
600,1,1,7,4,2,10,0,10000
225,1,1,7,4,1,0,0,10000
645,1,1,7,2,2,10,0,8500
750,2,1,7,7,1,10,0,8000
225,1,1,7,7,0,10,0,10000
485,1,1,4,3,1,10,0,8500
570,1,1,4,4,1,10,0,10000
640,2,1,7,3,0,10,0,10000
640,1,1,22,12,1,10,0,10000
500,1,1,4,4,1,10,0,10000
650,1,1,7,2,2,10,0,10000
320,1,1,7,2,0,10,0,9000
250,1,1,4,0,1,10,0,10000
400,1,1,7,5,2,10,0,9500
650,2,1,15,8,1,10,0,8000
525,1,1,2,2,1,10,1,10000
520,1,1,4,0,1,10,0,8700
625,2,1,7,4,2,10,0,8000
675,2,1,7,1,1,10,0,9000
520,1,1,4,2,2,10,0,10000
160,1,1,3,3,2,9,1,9000
575,1,1,7,1,1,10,0,9500
560,1,1,7,4,2,10,0,8000
600,1,1,9,1,0,10,0,10000
900,2,1,7,7,2,10,0,8500
500,1,1,5,1,2,10,0,8500
225,1,1,4,4,2,10,0,9500
365,1,1,3,1,1,10,0,9000
640,2,1,7,4,1,10,0,10000
300,1,1,2,1,1,10,1,9000
478,1,1,4,0,0,10,0,9000
787,2,1,7,1,2,10,0,10000
650,1,1,7,2,1,10,0,9500
700,1,1,7,1,2,10,0,10000
510,1,1,7,2,0,10,0,9000
750,1,1,7,7,1,10,0,8000
500,1,1,4,3,2,10,0,9000
500,1,1,2,1,2,10,0,8000
480,1,1,3,2,2,10,0,8500
375,1,1,3,3,0,10,0,10000
500,1,1,6,6,0,10,0,10000
220,1,1,4,2,1,10,0,9000
550,1,1,7,4,2,10,0,10000
130,1,1,6,6,2,10,0,10000
400,1,1,4,2,1,10,0,8000
225,1,1,7,7,1,10,0,10000
530,1,1,7,6,1,10,0,9000
225,1,1,24,23,2,10,0,10000
400,1,1,4,2,2,10,0,9000
546,1,1,24,2,2,10,0,8000
450,1,1,6,6,2,10,0,8500
550,1,1,4,3,1,10,0,9000
420,1,1,4,3,0,10,0,9500
400,1,1,7,1,2,10,0,8000
600,2,1,4,4,2,10,0,9500
225,1,1,7,2,1,10,0,8000
635,2,1,7,1,2,10,0,10000
390,1,1,4,3,1,10,0,9500
700,1,1,4,1,0,10,0,10000
570,1,1,4,4,1,10,1,10000
510,1,1,3,3,1,10,1,10000
621,1,1,7,4,1,10,0,10000
540,1,1,4,0,2,10,1,9000
550,1,1,4,1,0,10,1,9000
700,1,1,5,1,0,10,0,8000
575,1,1,3,2,1,10,1,9500
500,1,1,2,0,1,10,1,8000
600,1,1,7,5,1,0,0,8500
500,1,1,8,1,1,5,0,8700
400,1,1,22,19,2,10,0,8000
500,1,1,5,2,1,1,0,8500
500,1,1,4,1,2,10,0,8000
650,1,1,4,4,0,5,0,8000
466,1,1,20,9,0,5,0,8000
400,1,1,3,2,1,0,1,8500
325,1,1,7,7,0,2,0,10000
210,1,1,7,5,0,10,0,8000
630,2,1,15,9,2,10,0,8000
650,2,1,12,12,0,10,0,8500
620,2,1,7,3,2,10,0,8500
720,1,1,7,6,2,10,0,9000
650,2,1,7,0,2,10,0,9000
630,2,1,7,1,1,10,0,8000
670,1,1,4,2,2,10,0,8000
300,1,1,4,2,2,10,0,10000
630,2,1,15,9,2,10,0,8000
695,1,1,7,4,2,10,0,8000
630,2,1,12,7,1,10,0,8000
730,2,1,7,5,2,10,0,8500
630,2,1,7,1,1,10,0,10000
650,2,1,7,4,0,10,0,8000
630,2,1,4,0,1,10,0,8000
600,2,1,7,4,2,10,0,10000
1000,3,3,4,3,2,10,2,17500
1493,2,3,34,7,2,10,2,21000
1250,3,3,7,7,1,10,2,22000
1400,3,3,7,3,2,10,2,17000
1100,2,3,10,1,2,10,2,19900
1250,3,3,12,5,2,10,2,21000
1150,3,3,14,8,2,10,2,21000
1300,3,3,12,3,2,10,2,22000
900,2,3,5,3,2,10,2,21000
1365,3,3,14,10,2,10,2,22000
1060,3,3,14,4,2,10,2,21000
1250,3,3,12,5,2,10,2,22000
1150,3,3,14,7,2,10,2,18000
1200,3,3,8,8,2,10,2,19000
1365,2,3,16,11,2,10,2,20000
1250,3,3,15,10,2,10,2,21000
1070,2,3,3,3,0,10,2,20000
90,3,3,3,0,1,10,4,21000
1250,3,3,8,5,2,10,2,21000
1400,3,3,25,9,2,10,2,22000
1075,2,3,7,6,2,10,2,18000
1060,2,3,15,9,2,10,2,22000
1500,3,3,6,1,1,10,2,22000
1100,2,3,8,4,2,10,2,17000
1100,2,3,18,15,2,10,2,16000
1200,2,3,7,4,2,10,2,19000
1000,1,3,4,3,1,10,2,17500
2200,2,4,4,2,1,10,1,25000
1150,3,3,7,3,2,10,2,23000
1450,3,3,23,15,2,10,2,27000
1170,2,3,20,6,2,10,2,25000
1400,4,3,12,6,1,10,2,23000
1250,2,3,20,3,2,10,2,25000
1400,3,3,22,22,1,10,2,28500
1050,3,3,20,12,2,10,2,27000
1450,3,3,23,10,2,10,2,27000
1400,2,3,14,6,2,10,2,28000
1400,3,3,7,4,2,10,2,25000
1225,3,3,12,8,2,10,2,23000
1400,2,3,13,4,2,10,2,26000
789,3,3,18,3,2,10,4,25000
1341,3,3,20,18,1,10,2,28000
1335,3,3,15,8,2,10,2,24000
1350,3,3,12,4,2,10,2,23500
1240,3,3,14,6,2,10,2,26000
1400,3,3,14,14,0,10,2,27000
1341,3,3,22,2,2,10,2,27000
1341,3,3,23,12,2,10,2,27000
1390,3,3,14,3,2,10,2,25000
1400,3,3,24,10,1,10,2,27000
1150,3,3,13,3,1,10,2,24000
1050,2,4,21,16,2,10,2,41000
1300,3,3,5,-1,0,10,4,45000
1495,3,3,54,4,1,10,2,42000
1092,2,3,20,5,1,6,2,42000
1495,2,3,56,44,2,10,2,44000
1495,3,3,56,38,2,10,2,44000
1150,3,3,20,7,0,10,2,36000
1400,3,3,16,12,1,10,2,44000
1375,2,3,36,2,0,10,2,44400
1550,2,3,28,12,2,10,2,45000
1150,2,3,23,16,2,10,2,35000
1150,2,3,19,11,2,10,2,45000
1350,2,3,19,10,2,10,2,43000
1190,2,3,23,11,0,10,2,42000
1211,3,3,23,15,2,10,2,40000
1150,2,3,23,10,2,10,2,35000
1349,3,3,19,14,2,10,2,42000
1450,2,3,54,14,2,8,2,42000
1350,3,3,54,45,2,10,2,42000
1150,2,3,54,30,2,10,2,40000
1218,2,3,22,7,1,3,2,40000
1219,2,3,22,16,1,3,2,38000
1250,2,3,14,12,0,10,2,37000
1200,3,3,33,9,2,10,2,37000
1160,3,3,17,3,2,3,2,45000
1300,3,4,16,8,1,6,0,50000
1650,4,4,4,1,2,10,0,50000
1440,3,4,16,5,0,6,0,50000
1800,4,4,19,8,2,8,2,52000
1800,4,4,19,8,2,8,2,54500
1800,4,4,19,8,2,8,2,54500
1700,3,4,22,12,1,8,2,55000
2100,3,4,25,18,1,10,2,55000
1200,3,4,5,0,2,10,2,55000
1100,3,4,6,6,0,10,1,55000
1765,3,4,18,10,2,8,2,57000
1786,4,4,20,14,2,8,2,57000
1730,4,4,36,24,2,6,2,60000
1980,4,4,14,10,2,10,2,60000
1900,4,4,20,15,2,8,2,60000
1850,4,4,7,3,2,10,2,60000
1450,2,4,7,4,2,6,2,60000
1300,4,4,21,20,2,6,2,60000
1100,3,3,21,15,0,10,4,55000
900,2,3,24,18,0,10,4,49220
1100,3,3,12,6,0,10,4,50000
2260,3,4,38,20,1,6,0,62000
1630,4,4,20,0,1,10,0,62000
2100,5,4,40,8,2,6,0,62000
2380,4,4,39,22,1,10,0,78000
2030,5,4,31,20,1,6,0,70000
3010,4,4,41,30,1,6,0,75000
1700,3,4,12,9,1,7,0,75000
2100,4,4,38,22,1,6,0,74000
1700,3,4,12,9,1,7,0,75000
2016,4,4,41,12,1,10,0,70000
3000,4,4,40,15,1,6,0,75000
1700,3,4,12,9,1,7,0,75000
1896,4,4,39,28,2,10,0,75000
1990,4,4,17,5,2,1,0,75000
1700,3,4,12,9,1,7,0,75000
2800,5,4,40,12,2,6,0,75000
2000,4,4,28,15,2,10,0,77000
1700,3,4,12,9,1,7,0,75000
2800,2,4,55,40,1,10,0,70000
1500,3,4,12,9,1,7,0,75000
3050,6,4,37,20,1,6,0,75000
2900,5,4,40,14,1,6,0,75000
2800,4,4,45,3,2,10,0,75000
2415,4,4,22,6,0,8,0,75000
2600,4,4,27,20,1,10,0,76000
2000,5,4,30,5,1,6,0,74000
2860,3,4,23,16,0,10,0,79000
1950,3,4,36,34,1,10,0,75000
3150,6,4,38,17,1,6,0,75000
2100,4,4,41,14,1,10,0,70000
2400,4,4,18,15,0,10,0,75000
3150,6,4,36,25,1,6,0,75000
2250,4,4,21,10,2,10,0,70000
2050,4,4,42,23,1,6,0,71000
2450,5,4,20,7,2,10,0,70000
1850,4,4,20,4,1,7,0,65000
2100,4,4,17,7,2,10,0,75000
1850,3,4,23,18,0,10,0,78000
1650,3,4,9,5,0,8,0,75000
1990,4,4,17,10,2,1,0,75000
2580,4,4,40,15,1,5,0,75000
2600,4,4,48,29,1,10,0,75000
4100,4,4,9,3,1,10,0,75000
1800,4,4,12,9,1,10,0,75000
2200,4,4,15,12,2,10,0,65000
1650,3,4,21,8,0,6,0,65000
2110,4,4,32,5,1,10,0,75000
1170,3,4,16,10,1,6,0,70000
1620,3,4,21,20,0,6,0,70000
2600,4,4,15,9,2,10,0,65000
2016,4,4,41,11,1,10,0,70000
2500,4,4,30,15,2,6,0,75000
2400,4,4,36,15,1,1,0,79000
1990,4,4,17,5,2,1,0,75000
2000,4,4,20,5,1,6,0,72000
2450,4,4,21,14,0,10,0,75000
2400,4,4,50,13,2,10,0,75000
2580,4,4,41,23,1,5,0,70000
2016,4,4,41,11,1,10,0,70000
2580,4,4,41,21,1,5,0,68000
305,1,1,3,3,2,10,0,11000
650,2,1,12,5,1,10,0,11500
630,2,1,15,6,0,10,0,10500
560,2,1,2,1,2,10,0,12000
600,1,1,7,2,2,10,0,12000
650,2,1,20,8,2,10,0,12000
400,2,1,24,9,1,10,0,12000
650,2,1,7,6,1,10,0,12000
610,2,1,7,5,2,10,0,12500
600,1,1,7,2,2,10,0,12000
